Height,Weight,Head Round,Shoulder Width,Woman
188.0,77.0,54.0,3.829398002992483,0.0
193.0,94.0,55.0,3.860623736203173,0.0
194.0,91.0,55.0,4.748759376139642,0.0
169.0,68.0,58.0,5.111899517181108,0.0
168.0,69.0,58.0,5.084543431098581,0.0
187.0,74.0,58.0,4.731732930405341,0.0
191.0,82.0,56.0,4.761018282463931,0.0
192.0,83.0,56.0,4.219954967150607,0.0
186.0,94.0,54.0,5.168208823826786,0.0
179.0,80.0,58.0,5.308990508807668,0.0
183.0,70.0,57.0,4.602132783316337,0.0
185.0,87.0,54.0,4.529258688210556,0.0
176.0,76.0,55.0,3.9182930221275556,0.0
182.0,90.0,55.0,4.472237320118694,0.0
188.0,80.0,56.0,4.330213337220875,0.0
175.0,72.0,54.0,4.627351379660598,0.0
173.0,77.0,55.0,5.369435513777168,0.0
174.0,65.0,54.0,4.404058049611019,0.0
177.0,81.0,55.0,4.487884853260315,0.0
184.0,84.0,57.0,4.5915191551902295,0.0
181.0,68.0,55.0,5.006332390605367,0.0
179.0,70.0,54.0,4.391137637110143,0.0
172.0,61.0,55.0,4.434875459945887,0.0
188.0,85.0,54.0,4.848481189288655,0.0
177.0,63.0,54.0,4.5275967679636695,0.0
179.0,67.0,54.0,4.6683781714300485,0.0
181.0,78.0,54.0,5.38335547873484,0.0
174.0,72.0,54.0,4.757885090684734,0.0
185.0,80.0,57.0,4.582225111121852,0.0
179.0,65.0,55.0,4.57380303028509,0.0
193.0,87.0,55.0,5.090927407641635,0.0
177.0,76.0,58.0,4.458038792826364,0.0
188.0,80.0,57.0,5.028626833370719,0.0
184.0,71.0,58.0,4.887421135031824,0.0
174.0,80.0,58.0,4.598886619681862,0.0
184.0,83.0,54.0,4.386674019116711,0.0
190.0,92.0,55.0,4.398896099315076,0.0
190.0,95.0,54.0,4.785446000907811,0.0
170.0,55.0,57.0,5.0220017372638,0.0
188.0,79.0,56.0,4.178984339102164,0.0
189.0,77.0,55.0,4.1599766875336455,0.0
182.0,79.0,56.0,4.090923096284006,0.0
167.0,59.0,54.0,5.157499707271877,0.0
186.0,80.0,56.0,4.939624911652489,0.0
168.0,64.0,57.0,4.672554057127572,0.0
189.0,86.0,56.0,4.573855942902024,0.0
171.0,71.0,57.0,4.553605283356658,0.0
175.0,68.0,58.0,3.9472865634311503,0.0
168.0,75.0,54.0,4.43195267356617,0.0
177.0,62.0,56.0,4.800430416721309,0.0
194.0,97.0,57.0,4.37964700865839,0.0
172.0,63.0,57.0,3.873952033947016,0.0
178.0,74.0,54.0,3.8941329311212676,0.0
179.0,85.0,54.0,5.1767117334656145,0.0
181.0,89.0,54.0,4.808748774604721,0.0
183.0,77.0,55.0,3.8979574125597485,0.0
188.0,88.0,56.0,4.1770561230455785,0.0
170.0,68.0,57.0,4.417490806774284,0.0
170.0,70.0,56.0,5.062505809705754,0.0
191.0,93.0,55.0,4.465580273022471,0.0
171.0,59.0,56.0,5.110832647128169,0.0
167.0,74.0,58.0,5.051892115370187,0.0
167.0,54.0,56.0,4.725349667729625,0.0
167.0,52.0,57.0,4.067973712863375,0.0
170.0,59.0,56.0,5.2861551649840655,0.0
168.0,68.0,57.0,5.006882763523269,0.0
175.0,70.0,57.0,5.081766018263194,0.0
183.0,92.0,54.0,5.1153376504586845,0.0
189.0,93.0,54.0,4.895805344594788,0.0
180.0,89.0,57.0,4.4094202431094764,0.0
174.0,82.0,56.0,5.337692981172576,0.0
178.0,77.0,55.0,5.373739307683474,0.0
172.0,73.0,56.0,5.140389808634419,0.0
168.0,53.0,57.0,5.1765935800805405,0.0
173.0,71.0,57.0,4.543009951260118,0.0
177.0,81.0,57.0,4.432826568223354,0.0
190.0,76.0,54.0,4.122330063072644,0.0
185.0,84.0,56.0,4.685611032778465,0.0
182.0,81.0,57.0,4.68170517872687,0.0
171.0,67.0,55.0,3.928723475043705,0.0
187.0,77.0,58.0,4.535721600403891,0.0
174.0,59.0,58.0,5.216689181460829,0.0
178.0,68.0,58.0,4.393866255416523,0.0
183.0,76.0,55.0,4.555568593325589,0.0
193.0,88.0,57.0,5.248070177287075,0.0
184.0,76.0,58.0,4.383113797810961,0.0
188.0,77.0,55.0,4.0077673348133835,0.0
190.0,79.0,55.0,4.768277769058499,0.0
180.0,78.0,57.0,3.8727698653424745,0.0
175.0,84.0,56.0,4.012288795789612,0.0
186.0,86.0,58.0,3.838289715309198,0.0
191.0,98.0,58.0,4.554646034117926,0.0
190.0,87.0,56.0,4.043360173728386,0.0
177.0,74.0,56.0,5.003579438629929,0.0
175.0,65.0,58.0,3.8586801724333326,0.0
176.0,61.0,56.0,4.21213417717599,0.0
185.0,85.0,58.0,5.324293386855035,0.0
173.0,81.0,58.0,4.9176144346487405,0.0
186.0,89.0,54.0,4.0398604618588605,0.0
191.0,96.0,57.0,4.260564797321059,0.0
168.0,69.0,54.0,4.954937491315,0.0
175.0,72.0,55.0,4.528122395859927,0.0
171.0,66.0,58.0,4.946142613428966,0.0
183.0,82.0,58.0,3.9208796292598325,0.0
168.0,60.0,58.0,4.249638758623948,0.0
174.0,65.0,57.0,4.427457500287843,0.0
167.0,61.0,56.0,4.497953985709791,0.0
194.0,100.0,58.0,5.168900961445462,0.0
175.0,64.0,55.0,5.195327411568698,0.0
169.0,65.0,57.0,4.399782377263345,0.0
184.0,71.0,55.0,5.330314085461614,0.0
178.0,66.0,58.0,4.145362251731164,0.0
174.0,72.0,57.0,4.038413871913883,0.0
190.0,98.0,56.0,4.447147607170786,0.0
182.0,80.0,57.0,4.08770143915633,0.0
187.0,73.0,57.0,5.310329708261083,0.0
177.0,84.0,56.0,5.294539968715564,0.0
176.0,61.0,54.0,5.062690380803506,0.0
179.0,85.0,54.0,5.038329876727213,0.0
171.0,59.0,54.0,5.067624661274924,0.0
190.0,99.0,54.0,4.345996196660562,0.0
171.0,79.0,57.0,3.875653743592433,0.0
178.0,83.0,54.0,4.567834834371141,0.0
193.0,81.0,56.0,4.039467962782059,0.0
185.0,76.0,57.0,4.252573349237891,0.0
191.0,97.0,55.0,4.19352863071522,0.0
184.0,83.0,55.0,4.488928550486812,0.0
177.0,79.0,55.0,3.9350329438724523,0.0
192.0,96.0,54.0,5.085370257689534,0.0
189.0,98.0,55.0,4.375025145520745,0.0
181.0,76.0,58.0,4.916007505306706,0.0
175.0,60.0,58.0,3.85523385266953,0.0
191.0,84.0,58.0,4.121491683621455,0.0
182.0,81.0,55.0,5.31018094124312,0.0
182.0,86.0,54.0,5.26474829748843,0.0
170.0,67.0,57.0,4.893176436317578,0.0
190.0,85.0,55.0,4.981765943226653,0.0
193.0,102.0,56.0,4.684521073348803,0.0
187.0,91.0,57.0,5.346238016521108,0.0
168.0,68.0,56.0,4.211297253844562,0.0
183.0,70.0,58.0,4.720508995266816,0.0
174.0,68.0,54.0,4.319027715880366,0.0
176.0,67.0,54.0,3.8498908716089852,0.0
179.0,68.0,56.0,5.241005849575888,0.0
180.0,71.0,56.0,4.960329921570353,0.0
169.0,75.0,56.0,4.390144248023779,0.0
190.0,89.0,58.0,4.800698905040258,0.0
178.0,78.0,57.0,4.694573075813623,0.0
178.0,86.0,57.0,4.165831920554218,0.0
181.0,81.0,57.0,5.262150677093728,0.0
186.0,78.0,57.0,4.925070934737553,0.0
186.0,93.0,55.0,4.876690806874351,0.0
193.0,102.0,58.0,5.050159575466583,0.0
185.0,93.0,55.0,4.717336449480801,0.0
178.0,76.0,57.0,4.386319657079277,0.0
191.0,96.0,55.0,4.942873122264907,0.0
174.0,79.0,56.0,4.146393117824841,0.0
174.0,63.0,54.0,4.425640625643562,0.0
171.0,70.0,58.0,5.031971009887183,0.0
171.0,58.0,55.0,3.918352637999281,0.0
186.0,92.0,58.0,4.886782902692971,0.0
168.0,54.0,58.0,4.046286042386308,0.0
187.0,93.0,55.0,3.973827759463865,0.0
182.0,68.0,56.0,3.8231656379367354,0.0
175.0,81.0,57.0,3.872048584616925,0.0
178.0,77.0,56.0,3.8137649742200885,0.0
186.0,77.0,58.0,5.26699324767013,0.0
182.0,79.0,58.0,3.99963258224559,0.0
177.0,71.0,58.0,4.490058305802861,0.0
185.0,71.0,56.0,5.196770742007537,0.0
170.0,68.0,56.0,4.758910926310713,0.0
179.0,70.0,58.0,4.832619538280392,0.0
192.0,83.0,55.0,4.035710735494939,0.0
174.0,65.0,57.0,4.739096337144073,0.0
171.0,73.0,57.0,4.57214542300644,0.0
183.0,85.0,56.0,5.1318241279275005,0.0
180.0,74.0,54.0,4.371279645926126,0.0
183.0,78.0,56.0,5.192095318696046,0.0
171.0,58.0,57.0,5.105575076085743,0.0
172.0,65.0,54.0,4.388719041404448,0.0
190.0,87.0,56.0,5.1327553528038115,0.0
194.0,91.0,56.0,4.977621644156643,0.0
180.0,73.0,54.0,5.34138312238216,0.0
167.0,58.0,58.0,4.264820513703213,0.0
185.0,77.0,57.0,4.370036961016649,0.0
167.0,73.0,56.0,4.701379380023912,0.0
169.0,78.0,57.0,4.53253291572149,0.0
185.0,91.0,56.0,3.9540231733664126,0.0
190.0,76.0,56.0,5.296524043784755,0.0
189.0,87.0,56.0,4.204438653107007,0.0
180.0,83.0,58.0,4.408940837237114,0.0
168.0,53.0,57.0,4.401879689641597,0.0
192.0,92.0,56.0,4.782647550991305,0.0
176.0,80.0,54.0,5.1051151475976635,0.0
192.0,86.0,54.0,4.49609852876293,0.0
191.0,96.0,57.0,5.024528583084192,0.0
187.0,94.0,54.0,4.4976809676776695,0.0
190.0,98.0,55.0,4.462546123421031,0.0
177.0,85.0,54.0,4.550831873827736,0.0
192.0,80.0,55.0,3.8547831593706063,0.0
167.0,69.0,54.0,4.49511541899315,0.0
179.0,68.0,55.0,3.914166272454665,0.0
173.0,67.0,57.0,5.145871155984585,0.0
176.0,76.0,58.0,3.907670829072083,0.0
169.0,64.0,57.0,5.020513054016889,0.0
180.0,74.0,56.0,4.920885151328287,0.0
190.0,76.0,55.0,4.025044222952838,0.0
180.0,69.0,56.0,5.2644370430667085,0.0
181.0,67.0,55.0,5.2295544092156225,0.0
178.0,72.0,58.0,4.9682790770575105,0.0
178.0,68.0,58.0,4.876245924131065,0.0
190.0,94.0,57.0,5.283226901172252,0.0
183.0,70.0,54.0,5.158038057274802,0.0
185.0,94.0,54.0,5.221802314862435,0.0
183.0,71.0,56.0,4.786985306036214,0.0
190.0,93.0,56.0,4.970762959377227,0.0
168.0,65.0,56.0,4.248615309318618,0.0
183.0,72.0,54.0,4.036068766498602,0.0
181.0,89.0,55.0,4.05675856962612,0.0
167.0,52.0,58.0,4.366606487062754,0.0
175.0,69.0,55.0,4.874895066345738,0.0
194.0,95.0,58.0,5.056204294689032,0.0
188.0,93.0,56.0,4.877343451330605,0.0
194.0,93.0,58.0,5.18278746881096,0.0
194.0,98.0,55.0,5.1430209616163625,0.0
183.0,75.0,54.0,4.745972671223615,0.0
177.0,71.0,54.0,4.214418061199406,0.0
194.0,96.0,57.0,4.140571833030269,0.0
191.0,90.0,54.0,4.5662263295365495,0.0
191.0,90.0,55.0,4.175374657158631,0.0
176.0,72.0,55.0,5.113619477598727,0.0
179.0,65.0,54.0,5.128187755170192,0.0
179.0,86.0,55.0,4.313996786786606,0.0
192.0,98.0,57.0,3.8069642886599153,0.0
190.0,84.0,58.0,5.107186454099317,0.0
174.0,77.0,57.0,5.040773037855969,0.0
181.0,88.0,58.0,4.667480893411246,0.0
176.0,71.0,57.0,4.531994897742984,0.0
194.0,92.0,58.0,4.690273557153367,0.0
189.0,94.0,58.0,4.740281156699445,0.0
167.0,76.0,57.0,4.663407850963845,0.0
193.0,86.0,55.0,4.252500663116681,0.0
171.0,64.0,56.0,4.044527480287894,0.0
178.0,82.0,58.0,5.230110967443952,0.0
175.0,81.0,54.0,4.0736061429387025,0.0
190.0,75.0,56.0,4.299030889384984,0.0
192.0,91.0,58.0,4.4244636012388066,0.0
172.0,81.0,58.0,5.341870946808902,0.0
192.0,86.0,55.0,4.559444285872446,0.0
191.0,89.0,54.0,3.9575561574450524,0.0
184.0,80.0,54.0,4.742020510865935,0.0
174.0,59.0,57.0,4.034371607472553,0.0
194.0,91.0,57.0,4.437504308923932,0.0
192.0,86.0,58.0,4.520234443573487,0.0
171.0,59.0,55.0,4.550058180216641,0.0
173.0,81.0,57.0,4.858834971782716,0.0
177.0,76.0,58.0,4.914210064316673,0.0
186.0,94.0,54.0,4.684753232252508,0.0
174.0,68.0,57.0,4.367917064705972,0.0
169.0,55.0,58.0,4.61793330396491,0.0
173.0,63.0,56.0,4.331616633035935,0.0
188.0,73.0,55.0,4.468420152298135,0.0
186.0,94.0,55.0,4.433139485737836,0.0
187.0,77.0,56.0,4.300051109304867,0.0
171.0,78.0,55.0,3.833894878449964,0.0
177.0,63.0,56.0,5.339787596437303,0.0
178.0,86.0,54.0,5.031733003185406,0.0
192.0,83.0,54.0,4.366069109972523,0.0
177.0,67.0,57.0,3.820441257987625,0.0
193.0,83.0,58.0,5.108804772720169,0.0
173.0,67.0,56.0,4.597047984613368,0.0
169.0,57.0,57.0,5.026842066592933,0.0
173.0,71.0,57.0,5.321528073040823,0.0
181.0,73.0,57.0,4.652926377542017,0.0
186.0,75.0,55.0,4.535114779541991,0.0
170.0,62.0,56.0,4.417738303406678,0.0
186.0,84.0,58.0,5.3880382650196985,0.0
190.0,91.0,55.0,4.679169876844929,0.0
187.0,77.0,58.0,5.279619468453037,0.0
171.0,67.0,55.0,4.20076455608493,0.0
192.0,96.0,57.0,4.009794754054644,0.0
187.0,79.0,56.0,4.184400934888755,0.0
191.0,84.0,54.0,4.282875288988935,0.0
184.0,71.0,57.0,3.8498582487071262,0.0
182.0,82.0,58.0,4.467807545422029,0.0
182.0,78.0,55.0,4.405771731668789,0.0
183.0,70.0,55.0,5.276339660771033,0.0
169.0,65.0,56.0,4.608488268702123,0.0
177.0,71.0,57.0,4.594655700704424,0.0
171.0,77.0,57.0,3.9380014220980755,0.0
193.0,98.0,57.0,4.320586183038076,0.0
180.0,82.0,57.0,4.072359511002158,0.0
179.0,66.0,56.0,4.49767300339058,0.0
179.0,81.0,57.0,4.6618355054742295,0.0
179.0,67.0,54.0,4.795748801905012,0.0
186.0,87.0,57.0,4.1236395508381225,0.0
180.0,86.0,56.0,3.8665281415395065,0.0
167.0,73.0,57.0,4.186011597436759,0.0
177.0,75.0,55.0,4.998819965556999,0.0
189.0,79.0,54.0,4.708849133066188,0.0
175.0,68.0,54.0,5.018014148175398,0.0
194.0,98.0,56.0,3.919832013918432,0.0
184.0,80.0,58.0,5.182027143373105,0.0
175.0,75.0,56.0,4.112574181213927,0.0
182.0,89.0,54.0,4.951870913149637,0.0
194.0,94.0,56.0,5.293648048658373,0.0
172.0,67.0,55.0,4.751505093881757,0.0
175.0,68.0,58.0,3.841222767914701,0.0
183.0,88.0,58.0,4.608378836834385,0.0
176.0,84.0,57.0,5.266279129146719,0.0
167.0,57.0,54.0,5.343264073735446,0.0
169.0,64.0,56.0,4.473298106863598,0.0
184.0,93.0,54.0,4.926344028648757,0.0
180.0,72.0,54.0,5.390867508318589,0.0
182.0,90.0,55.0,4.266489629143071,0.0
182.0,77.0,54.0,5.114532267345048,0.0
184.0,79.0,58.0,3.9065022667835487,0.0
185.0,90.0,55.0,4.792082987292845,0.0
194.0,103.0,55.0,3.955704760810082,0.0
167.0,64.0,56.0,3.870335516216687,0.0
185.0,81.0,58.0,5.329789231561225,0.0
183.0,91.0,57.0,5.304717596614593,0.0
189.0,89.0,58.0,4.353367308249968,0.0
178.0,86.0,54.0,4.589676314054416,0.0
179.0,80.0,57.0,5.223875666123629,0.0
169.0,77.0,57.0,4.405853289232941,0.0
182.0,82.0,55.0,4.82334905932883,0.0
189.0,87.0,58.0,4.407068795517483,0.0
183.0,81.0,56.0,5.080290600086124,0.0
178.0,68.0,57.0,5.0910838752058245,0.0
189.0,84.0,57.0,4.565361903141281,0.0
192.0,95.0,56.0,4.064611379858091,0.0
175.0,73.0,57.0,5.251505490468172,0.0
193.0,90.0,57.0,3.8058599427696005,0.0
192.0,98.0,58.0,5.204208131663418,0.0
185.0,82.0,56.0,4.105804831846029,0.0
176.0,74.0,55.0,4.502942703910759,0.0
177.0,70.0,57.0,4.637150125076687,0.0
174.0,70.0,58.0,4.276338403907176,0.0
193.0,80.0,54.0,5.133716342846699,0.0
170.0,58.0,58.0,3.973981589019498,0.0
175.0,67.0,58.0,4.301534907743894,0.0
190.0,77.0,58.0,4.211158262185526,0.0
184.0,92.0,54.0,5.158371745310081,0.0
181.0,67.0,54.0,4.296868586237727,0.0
189.0,85.0,58.0,5.007916927927838,0.0
179.0,73.0,55.0,3.9951350031695174,0.0
168.0,55.0,57.0,5.163827441282135,0.0
167.0,70.0,57.0,4.229472669246864,0.0
191.0,86.0,58.0,4.7539502013961465,0.0
188.0,93.0,58.0,5.269806800722346,0.0
181.0,80.0,58.0,4.221012345620053,0.0
182.0,74.0,58.0,4.636789807614553,0.0
183.0,84.0,54.0,5.065203132362078,0.0
179.0,66.0,58.0,5.398330362536037,0.0
188.0,93.0,56.0,4.312693973584648,0.0
167.0,73.0,56.0,5.085104794425112,0.0
174.0,83.0,55.0,4.700144033105273,0.0
191.0,94.0,54.0,4.361230810310706,0.0
186.0,78.0,56.0,4.1005054047498986,0.0
178.0,74.0,58.0,4.42513731983534,0.0
187.0,85.0,55.0,5.337310901984335,0.0
176.0,85.0,56.0,5.042582496948908,0.0
188.0,91.0,55.0,4.658434731416103,0.0
192.0,87.0,56.0,4.7066432972889025,0.0
171.0,75.0,55.0,5.199937081271076,0.0
180.0,81.0,54.0,3.951549820251259,0.0
184.0,81.0,56.0,4.267775849926163,0.0
193.0,81.0,55.0,4.834462486984021,0.0
185.0,90.0,56.0,4.605450810357637,0.0
169.0,59.0,55.0,5.162242402826061,0.0
193.0,86.0,54.0,4.962899197232736,0.0
178.0,64.0,54.0,5.3920223419217255,0.0
169.0,58.0,54.0,4.296601843354678,0.0
181.0,77.0,56.0,5.267153514010448,0.0
181.0,67.0,54.0,4.072800058746114,0.0
171.0,65.0,55.0,4.08535976767972,0.0
173.0,76.0,55.0,4.310690546944281,0.0
188.0,93.0,55.0,4.782808849013835,0.0
183.0,77.0,57.0,4.902320760855579,0.0
179.0,83.0,54.0,4.485911574886047,0.0
183.0,75.0,54.0,4.942056350811724,0.0
175.0,76.0,55.0,5.205228872995166,0.0
176.0,68.0,56.0,4.274121029215722,0.0
178.0,64.0,55.0,5.169662609615408,0.0
185.0,90.0,56.0,4.955644811971139,0.0
172.0,59.0,55.0,3.909813413413107,0.0
173.0,63.0,58.0,5.25588961174628,0.0
179.0,66.0,54.0,4.223642529607695,0.0
177.0,80.0,55.0,4.3118362630990115,0.0
171.0,73.0,57.0,4.2630243892340225,0.0
186.0,87.0,54.0,4.759214120388761,0.0
190.0,94.0,57.0,4.805205974563874,0.0
193.0,79.0,56.0,4.4181412967510045,0.0
186.0,92.0,54.0,5.142077466151893,0.0
183.0,76.0,58.0,3.884415985589394,0.0
178.0,63.0,56.0,4.445742521602362,0.0
183.0,74.0,56.0,5.167096031241581,0.0
181.0,83.0,55.0,4.495819734355078,0.0
180.0,65.0,55.0,5.010660346244209,0.0
181.0,82.0,54.0,4.655266638852732,0.0
189.0,88.0,57.0,4.471068951729727,0.0
171.0,73.0,56.0,4.402863516021191,0.0
189.0,74.0,56.0,5.020950196159825,0.0
169.0,58.0,54.0,5.064242445078319,0.0
186.0,76.0,58.0,4.476978179148003,0.0
168.0,60.0,55.0,4.636637133897523,0.0
180.0,86.0,54.0,3.9992885655604473,0.0
185.0,79.0,56.0,4.12333807429133,0.0
170.0,71.0,57.0,5.047559051590072,0.0
189.0,78.0,55.0,3.866287298478506,0.0
175.0,60.0,57.0,3.9703623634042313,0.0
174.0,79.0,58.0,5.228445107760264,0.0
180.0,80.0,57.0,4.088296109924964,0.0
190.0,96.0,58.0,5.35056869117559,0.0
174.0,59.0,55.0,5.230255617344111,0.0
190.0,94.0,55.0,4.093010921573109,0.0
184.0,74.0,56.0,4.577936658079015,0.0
188.0,81.0,56.0,4.208824327500988,0.0
176.0,84.0,55.0,4.639865653115617,0.0
175.0,77.0,58.0,5.347458675636806,0.0
189.0,76.0,55.0,3.8672795378953,0.0
185.0,90.0,58.0,4.6106271662016605,0.0
171.0,67.0,56.0,4.842773662666893,0.0
177.0,62.0,55.0,3.925289358016288,0.0
187.0,73.0,57.0,4.036261498828872,0.0
180.0,77.0,58.0,5.22601197213983,0.0
178.0,84.0,57.0,4.276483514162517,0.0
182.0,79.0,57.0,4.830685033921835,0.0
168.0,75.0,54.0,5.049225675045035,0.0
168.0,57.0,57.0,5.044288246763051,0.0
169.0,60.0,54.0,4.555374634346187,0.0
183.0,77.0,55.0,5.149609433386093,0.0
172.0,80.0,57.0,5.217205198901894,0.0
168.0,66.0,56.0,3.811666154284529,0.0
173.0,75.0,57.0,4.448130661126708,0.0
177.0,63.0,58.0,4.824306878273985,0.0
192.0,84.0,56.0,4.103294604485807,0.0
192.0,78.0,55.0,4.387141757963151,0.0
167.0,72.0,54.0,5.346978849909597,0.0
174.0,70.0,55.0,5.371272523923618,0.0
175.0,76.0,54.0,4.038298989622008,0.0
194.0,87.0,54.0,4.5049503755327995,0.0
190.0,93.0,55.0,4.989997838984892,0.0
178.0,64.0,54.0,4.242031261789996,0.0
190.0,95.0,54.0,4.972576484676212,0.0
190.0,82.0,56.0,4.980520922675072,0.0
171.0,63.0,55.0,4.855939794482509,0.0
184.0,71.0,57.0,5.325745945803108,0.0
183.0,89.0,56.0,3.934795390238878,0.0
190.0,77.0,58.0,3.8569169196524284,0.0
181.0,90.0,57.0,4.262685656057522,0.0
172.0,64.0,54.0,3.838095268972278,0.0
178.0,73.0,57.0,4.095071047187291,0.0
185.0,70.0,58.0,4.9069009356639235,0.0
192.0,84.0,55.0,5.0177985784399235,0.0
180.0,71.0,54.0,4.992299316903771,0.0
178.0,71.0,54.0,4.848503238448561,0.0
173.0,71.0,56.0,4.589386963038273,0.0
188.0,94.0,54.0,5.302045452509987,0.0
181.0,86.0,55.0,4.048448844960179,0.0
188.0,77.0,58.0,5.1795071532934545,0.0
184.0,83.0,56.0,5.107660367495327,0.0
187.0,80.0,55.0,5.084385890751135,0.0
170.0,56.0,56.0,5.252554953153965,0.0
182.0,84.0,57.0,4.5516442921815115,0.0
178.0,81.0,54.0,5.077613776079012,0.0
175.0,62.0,58.0,5.039239057629262,0.0
172.0,65.0,54.0,5.380435071524909,0.0
189.0,89.0,54.0,4.798210746207277,0.0
193.0,92.0,56.0,3.95876097371755,0.0
168.0,69.0,57.0,5.063470207375074,0.0
178.0,65.0,54.0,3.881043519311781,0.0
181.0,88.0,56.0,3.855099797574552,0.0
169.0,61.0,56.0,4.881197122548735,0.0
188.0,90.0,57.0,4.1375741857641275,0.0
169.0,71.0,57.0,3.954998543222478,0.0
167.0,72.0,55.0,4.6352771176098795,0.0
184.0,80.0,54.0,5.338640212525164,0.0
184.0,83.0,55.0,4.621642873979342,0.0
183.0,84.0,55.0,4.854247229185491,0.0
179.0,75.0,55.0,4.179384355115786,0.0
184.0,79.0,55.0,4.489458005418101,0.0
168.0,57.0,55.0,4.178971789176771,0.0
175.0,83.0,57.0,5.350587840690873,0.0
191.0,87.0,57.0,4.3422198005211925,0.0
178.0,74.0,57.0,3.86966354244227,0.0
185.0,82.0,57.0,5.2134372544616685,0.0
180.0,75.0,54.0,5.093478940441505,0.0
169.0,59.0,57.0,4.224253557013488,0.0
183.0,79.0,56.0,4.845581987220898,0.0
184.0,93.0,58.0,3.8546232703126107,0.0
183.0,82.0,57.0,5.072194587571836,0.0
170.0,68.0,54.0,4.686766370879693,0.0
176.0,76.0,56.0,4.635387916781148,0.0
169.0,63.0,56.0,4.0397082894537775,0.0
184.0,83.0,57.0,4.767236448145423,0.0
193.0,86.0,56.0,3.950996961972237,0.0
188.0,81.0,58.0,4.326948274582834,0.0
193.0,86.0,54.0,5.008163970737015,0.0
192.0,82.0,54.0,4.748297563876596,0.0
181.0,77.0,54.0,5.357851909901891,0.0
174.0,74.0,56.0,4.806141879038698,0.0
189.0,77.0,55.0,4.745962642346911,0.0
180.0,72.0,57.0,5.121832682723604,0.0
190.0,96.0,57.0,3.9686695730222157,0.0
173.0,78.0,58.0,4.574935489143999,0.0
184.0,78.0,54.0,5.241780391421176,0.0
167.0,76.0,57.0,3.8528877375709194,0.0
193.0,102.0,55.0,4.79145448782808,0.0
190.0,86.0,55.0,5.298600324588712,0.0
190.0,83.0,58.0,4.794785080261339,0.0
181.0,74.0,57.0,3.8772852435227105,0.0
187.0,88.0,57.0,4.602943016452294,0.0
178.0,68.0,56.0,5.290746342206473,0.0
193.0,100.0,54.0,3.8059996775845475,0.0
177.0,65.0,57.0,4.590644656851021,0.0
193.0,86.0,56.0,4.6102225200072064,0.0
184.0,90.0,54.0,4.256450944289444,0.0
179.0,76.0,57.0,4.681738590351469,0.0
169.0,70.0,58.0,4.403046211477386,0.0
186.0,82.0,55.0,5.076231134097027,0.0
168.0,74.0,58.0,4.897753116889856,0.0
180.0,88.0,55.0,4.43843139879083,0.0
174.0,70.0,54.0,4.575925978063067,0.0
187.0,78.0,58.0,4.822622086026545,0.0
189.0,74.0,54.0,4.076255046994854,0.0
173.0,70.0,57.0,4.371849080130544,0.0
186.0,82.0,55.0,4.710467075027058,0.0
